tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
701534,211088,2016-09-07,6,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,NYC Parks Staff,StonesRootOtherTrunkOther,Yes,No,Yes,No,No,Yes,No,No,No,85 BLAKE AVENUE,11212,Brooklyn,316,3,Brooklyn,41,55,20,BK81,Brownsville,3089400,New York,40.66449275,-73.91691347,1007300.569,181379.9516
434705,342627,2015-11-05,13,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,85-043 55 AVENUE,11373,Elmhurst,404,4,Queens,25,35,16,QN50,Elmhurst-Maspeth,4047900,New York,40.73394261,-73.87849179,1017924.733,206695.0233
301347,102048,2015-10-09,9,0,OnCurb,Dead,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,153 PERRY STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007500,New York,40.73481124,-74.00856449,981876.4723,206988.2524
17525,223045,2015-06-11,16,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,1or2,Helpful,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,570 5 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,Park Slope-Gowanus,3016500,New York,40.66777641,-73.97653172,990760.4486,182566.2238
342110,401481,2015-10-17,18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,63 WESTCOTT BOULEVARD,10314,Staten Island,501,5,Staten Island,50,63,24,SI07,Westerleigh,5015100,New York,40.61858232,-74.12759866,948826.141,164668.4007
421085,306896,2015-11-03,16,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,61-012 184 STREET,11365,Fresh Meadows,408,4,Queens,24,25,16,QN41,Fresh Meadows-Utopia,4134100,New York,40.73931772,-73.79005436,1042429.513,208699.7093
141122,219160,2015-08-12,13,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,256 DEKALB AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.6893855,-73.96869421,992931.8767,190439.716
38502,225102,2015-06-28,5,0,OnCurb,Alive,Good,Prunus,cherry,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,346 CONEY ISLAND AVENUE,11218,Brooklyn,307,3,Brooklyn,39,44,21,BK40,Windsor Terrace,3050400,New York,40.64944745,-73.97188063,992052.8735,175888.8504
9847,313885,2015-06-04,6,0,OnCurb,Alive,Poor,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,BranchOther,No,No,No,No,No,No,No,No,Yes,15-062 208 STREET,11360,Bayside,407,4,Queens,19,26,11,QN47,Ft. Totten-Bay Terrace-Clearview,4099705,New York,40.78383186,-73.78507667,1043769.123,224920.9688
82318,108783,2015-07-21,2,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,green ash,1or2,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,567 WEST 149 STREET,10031,New York,109,1,Manhattan,7,71,30,MN04,Hamilton Heights,1023300,New York,40.82883579,-73.94815476,998597.9096,241248.7223
219868,310048,2015-09-12,31,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,123-014 HILLSIDE AVENUE,11418,Richmond Hill,409,4,Queens,29,27,14,QN54,Richmond Hill,4014201,New York,40.70233848,-73.82735473,1032119.513,195204.4886
696552,306612,2016-09-04,3,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,166-003 69 AVENUE,11365,Fresh Meadows,408,4,Queens,24,25,16,QN38,Pomonok-Flushing Heights-Hillcrest,4122300,New York,40.73316579,-73.80299578,1038848.272,206450.0432
699839,231807,2016-09-06,10,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,140 EAST 28 STREET,11226,Brooklyn,317,3,Brooklyn,40,42,21,BK95,Erasmus,3082600,New York,40.64583767,-73.95101977,997842.3114,174576.2582
403109,403469,2015-10-30,3,0,OnCurb,Alive,Good,Amelanchier,serviceberry,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,117 MONROE AVENUE,10301,Staten Island,501,5,Staten Island,49,61,23,SI22,West New Brighton-New Brighton-St. George,5001100,New York,40.63877439,-74.07898764,962328.1304,172008.9972
503851,507825,2015-12-08,3,0,OnCurb,Alive,Good,Prunus,cherry,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1876 SEWARD AVENUE,10473,Bronx,209,2,Bronx,18,87,34,BX09,Soundview-Castle Hill-Clason Point-Harding Park,2001600,New York,40.81951928,-73.85979134,1023057.458,237881.1887
52892,407688,2015-07-07,4,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,2000 RICHMOND AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029103,New York,40.59981683,-74.16303159,938976.56,157847.9777
